Degree,AvgBias,AvgVar,AvgIrred,AvgMSE
1,201.8481575698002,2279797.9290134083,-1792804.0457506112,543111.434509544
2,197.77412389199174,2375508.899111282,-1900000.6937895438,531181.5866343055
3,26.050492534655277,3351693.5527359266,-3313107.838424393,53513.47337091574
4,31.96616960932749,3337181.2161717545,-3281892.1714739436,71302.72829574293
5,38.14265587423591,3306401.276409045,-3231029.4711899706,92310.89603598596
6,38.18082957433147,3326301.584000563,-3240014.103047218,103456.57315604044
7,42.48137641548318,3327567.8193499506,-3203094.999824308,140931.2256514088
8,40.30046037423537,3339228.594198491,-3205028.190463625,150552.4883464507
9,41.21886472037348,3365776.419501856,-3212993.45307481,169767.0715677499
10,38.638405816485715,3379415.4861056204,-3212583.643686546,182323.4922680941
11,41.06551572191531,3334075.2367949514,-3102609.748328179,247442.59939348215
12,40.13433694364358,3362579.849839882,-3123201.723045881,254051.08034695295
13,37.011315157749024,3329226.8435951276,-3082338.7336775,262440.33257373364
14,38.70888399856743,3347184.095674822,-3094675.0099035474,268644.54592891573
15,33.62583879531222,3332990.095571607,-3100887.6819240665,248816.93430211663
